exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E2_N2_MD_M125,2,10,2,1.0,1e-08,25000,MD,5,1,31.0,11.076577186584473,0.3573089415027249,31.0,11.43159532546997
E2_N2_MD_M125,2,11,2,1.0,1e-08,25000,MD,1,1,13.0,8.970314025878906,0.690024155836839,13.0,9.55769419670105
E2_N2_MD_M125,2,11,2,1.0,1e-08,25000,MD,2,1,17.0,15.550909519195557,0.9147593834820915,17.0,16.22087788581848
E2_N2_MD_M125,2,11,2,1.0,1e-08,25000,MD,5,1,31.0,20.352941036224365,0.6565464850394956,31.0,21.378933906555176
E2_N2_MD_M125,2,12,2,1.0,1e-08,25000,MD,1,1,17.0,15.553281307220459,0.9148989004247329,17.0,16.5648832321167
E2_N2_MD_M125,2,12,2,1.0,1e-08,25000,MD,2,1,17.0,15.079314708709717,0.8870185122770422,17.0,15.955756902694702
E2_N2_MD_M125,2,12,2,1.0,1e-08,25000,MD,5,1,31.0,30.97712779045105,0.9992621867887436,31.0,32.09834575653076
E2_N2_MD_M125,2,2,3,1.0,1e-08,25000,MD,1,1,9.0,0.01220393180847168,0.00135599242316352,9.0,0.01220393180847168
E2_N2_MD_M125,2,2,3,1.0,1e-08,25000,MD,2,1,13.0,0.015518665313720703,0.0011937434856708234,13.0,0.016542673110961914
E2_N2_MD_M125,2,2,3,1.0,1e-08,25000,MD,5,1,31.0,0.03187417984008789,0.0010281993496802546,31.0,0.03345990180969238
E2_N2_MD_M125,2,3,3,1.0,1e-08,25000,MD,1,1,11.0,0.01851058006286621,0.00168278000571511,11.0,0.019537925720214844
E2_N2_MD_M125,2,3,3,1.0,1e-08,25000,MD,2,1,17.0,0.02761673927307129,0.0016245140748865465,17.0,0.02761673927307129
E2_N2_MD_M125,2,3,3,1.0,1e-08,25000,MD,5,1,41.0,0.052172183990478516,0.0012724922924506955,41.0,0.05318856239318848
E2_N2_MD_M125,2,4,3,1.0,1e-08,25000,MD,1,1,11.0,0.022256851196289062,0.002023350108753551,11.0,0.022256851196289062
E2_N2_MD_M125,2,4,3,1.0,1e-08,25000,MD,2,1,13.0,0.02000737190246582,0.001539028607881986,13.0,0.021008014678955078
E2_N2_MD_M125,2,4,3,1.0,1e-08,25000,MD,5,1,31.0,0.05094337463378906,0.0016433346656060989,31.0,0.05194711685180664
