Type,N,epsilon,Method,hit_1e3,hit_1e4,final_gibbs,final_e_tr,dist_pi_lbfgs,primal,dual
Random,5,0.001,KL $\eta=\varepsilon/N$,11743.0,20239.0,20239,9.999974099628072e-05,0.00039758007313563863,-0.9510261381216736,-0.951023092940932
Random,5,0.001,KL $\eta=\varepsilon$,2349.0,4047.0,4047,9.999614815623618e-05,0.000397615744993578,-0.9510261376012424,-0.9510230929476872
Random,5,0.001,MD $M=1$,11434.0,18380.0,18380,9.99167026598254e-05,0.0004062133631092469,-0.9510243053134289,-0.9510231030952312
Random,5,0.001,MD $M=2$,11461.0,18659.0,18659,9.976196548219592e-05,0.00042651667652557443,-0.951026027188272,-0.951023103092512
Random,5,0.001,MD $M=5$,12226.0,19289.0,19289,9.966476215115604e-05,0.0004956019016480466,-0.9510305499512822,-0.9510231011207604
Random,6,0.001,L-BFGS,67.0,81.0,56040,8.179584256140515e-06,0.0,-0.9666686807661544,-0.9666681525942056
Random,6,0.001,KL $\eta=\varepsilon/N$,15251.0,26279.0,26279,9.99840295619163e-05,0.00026716698168649067,-0.9666724606715168,-0.9666681609506655
Random,6,0.001,KL $\eta=\varepsilon$,2542.0,4379.0,4379,9.9932519328516e-05,0.0002670169297883566,-0.9666724571300708,-0.9666681609409076
Random,6,0.001,MD $M=1$,14557.0,22696.0,22696,9.948704070468912e-05,0.0004991046719160792,-0.9666806153539064,-0.9666681718652465
Random,6,0.001,MD $M=2$,14377.0,22493.0,22493,9.991359860178833e-05,0.0005012811136435734,-0.9666807814743024,-0.9666681718099998
Random,6,0.001,MD $M=5$,14285.0,21668.0,21668,9.998000316004878e-05,0.000496957059145123,-0.966681073996158,-0.9666681713252924
Random,7,0.001,L-BFGS,21.0,25.0,44241,1.5251868035193183e-06,0.0,-0.9891755657188512,-0.9891757738357478
Random,7,0.001,KL $\eta=\varepsilon/N$,18736.0,31518.0,31518,9.999847680999676e-05,0.0003460636152627652,-0.9891850773424112,-0.989175787586168
Random,7,0.001,KL $\eta=\varepsilon$,2676.0,4501.0,4501,9.999560837941216e-05,0.00034603745566156186,-0.9891850742757607,-0.9891757875846764
Random,7,0.001,MD $M=1$,18719.0,29497.0,29497,9.99861783186296e-05,0.00048135028882926624,-0.989189671866038,-0.9891758000843044
Random,7,0.001,MD $M=2$,18733.0,29499.0,29499,9.9990358313785e-05,0.0004811037185544226,-0.9891896654217074,-0.9891758000618064
Random,7,0.001,MD $M=5$,18761.0,29499.0,29499,9.993699453698896e-05,0.00048075633889726533,-0.9891896557404832,-0.989175800057887
